"","Happiness.Score","Happiness.Score.predict"
"1",7.537000179,7.5370001795
"5",7.468999863,7.468999863
"6",7.376999855,7.376999855
"8",7.31400013,7.31400013
"10",7.28399992,7.28399992
"11",7.212999821,7.2129998205
"13",7.006000042,7.006000042
"14",6.993000031,6.9930000305
"17",6.890999794,6.890999794
"18",6.862999916,6.862999916
"19",6.714000225,6.714000225
"20",6.65199995,6.6519999505
"23",6.609000206,6.609000206
"27",6.52699995,6.5269999505
"29",6.453999996,6.4539999965
"30",6.452000141,6.452000141
"31",6.441999912,6.441999912
"32",6.423999786,6.4239997865
"35",6.375,6.375
"37",6.343999863,6.3439998625
"40",6.09800005,6.0980000495
"42",6.084000111,6.084000111
"43",6.071000099,6.071000099
"44",6.007999897,6.007999897
"45",6.002999783,6.0029997825
"47",5.971000195,5.9710001945
"49",5.962999821,5.9629998205
"52",5.90199995,5.90199995
"54",5.849999905,5.8499999045
"55",5.837999821,5.8379998205
"56",5.837999821,5.8379998205
"59",5.822000027,5.822000027
"60",5.818999767,5.8189997675
"61",5.809999943,5.809999943
"62",5.757999897,5.757999897
"64",5.629000187,5.629000187
"65",5.620999813,5.620999813
"67",5.568999767,5.5689997675
"69",5.5,5.5
"72",5.429999828,5.429999828
"74",5.335999966,5.3359999655
"75",5.323999882,5.3239998815
"77",5.293000221,5.2930002215
"81",5.262000084,5.262000084
"83",5.236999989,5.236999989
"85",5.234000206,5.234000206
"87",5.227000237,5.2270002365
"89",5.195000172,5.1950001715
"92",5.175000191,5.175000191
"93",5.151000023,5.151000023
"95",5.073999882,5.0739998815
"97",5.011000156,5.0110001565
"99",4.961999893,4.961999893
"100",4.954999924,4.9549999235
"102",4.804999828,4.8049998285
"103",4.775000095,4.7750000955
"105",4.714000225,4.714000225
"106",4.709000111,4.7090001105
"109",4.644000053,4.644000053
"110",4.607999802,4.6079998015
"113",4.550000191,4.5500001905
"115",4.534999847,4.5349998475
"116",4.513999939,4.5139999385
"119",4.460000038,4.4600000385
"120",4.440000057,4.440000057
"121",4.375999928,4.3759999275
"123",4.291999817,4.291999817
"126",4.28000021,4.28000021
"129",4.168000221,4.1680002215
"131",4.119999886,4.119999886
"133",4.080999851,4.080999851
"135",4.027999878,4.027999878
"138",3.875,3.875
"139",3.808000088,3.8080000875
"141",3.79399991,3.79399991
"144",3.644000053,3.6440000535
"145",3.602999926,3.6029999255
"146",3.592999935,3.592999935
"148",3.532999992,3.5329999925
"150",3.494999886,3.4949998855
"155",2.693000078,2.693000078
